Date,Time,Views,Caption,Hashtags
2023-05-22,10:22:02,58351,"Discussing India’s technology with Hon'ble Minister @ashwini.vaishnaw sir.. It's always a pleasure to learn about how India is making a mark in the tech domain.🇮🇳
#TGFamily 🔥🔥🔥",#TGFamily
2023-05-19,11:13:46,236963,Chalo ho gaya... #BGMI #TGFamily 🔥🔥🔥,"#BGMI, #TGFamily"
2023-05-15,09:16:43,252200,"Desi Kalakaar in USA... @yoyohoneysingh 
#TGFamily 🔥🔥🔥",#TGFamily
2023-05-04,14:22:05,19591,"While I was at the Samsung Opera House to witness their new launch, I can certainly tell you that the new #SamsungNeoQLED8K is definitely #MoreWowThanEver 
#TGFamily 🔥🔥🔥","#SamsungNeoQLED8K, #MoreWowThanEver, #TGFamily"
2023-04-29,04:18:53,155103,"Cooking up some interesting conversation with #TimCook 
Really excited to see what all #Apple brings to India as we grow towards becoming the hub of tech development in the world...#TGFamily 🔥🔥🔥","#TimCook, #Apple, #TGFamily"
2023-04-26,13:00:38,97500,"Iss disha mein, humne abhi dekha jaate hue…
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-22,09:57:14,270456,"Thrilled to get this 1st generation iPhone personally signed by the man himself. Most precious addition to my collection now🔥🔥🔥

#Apple #iPhone #TimCook #TGFamily","#Apple, #iPhone, #TimCook, #TGFamily"
2023-04-19,12:28:30,44452,"Hello Delhi, all set for #AppleSaket ? 20th April 08:00AM 
#TGFamily 🔥🔥🔥","#AppleSaket, #TGFamily"
2023-04-18,15:38:06,156863,"In the Mumbai...
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-17,09:16:05,532567,"It's Apple'o Clock..Time for #AppleBKC 
#TGFamily 🔥🔥🔥","#AppleBKC, #TGFamily"
2023-04-16,11:35:19,165370,"Brothers💪💪💪
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-16,11:32:06,297582,"Tuk tuk ni khelunga, seedha chakka lagaane de💯
@yoyohoneysingh #TGFamily 🔥🔥🔥",#TGFamily
2023-04-14,13:23:08,78954,Aaja meri gaadi mein baith jaa..#TGFamily 🔥🔥🔥,#TGFamily
2023-04-13,13:51:18,34056,Tech is fun when it's all connected together...What's your pick #TGFamily?🔥🔥🔥,#TGFamily
2023-04-10,12:17:38,144139,"BGMI or Free Fire??? 
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-08,09:28:50,243287,"Namo Namo🙏
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-07,14:27:31,98904,"Flying back from Korea in style on-board @emirates A-380 ✈️
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-06,10:05:34,44217,"Winner Winner Chicken Dinner🎮
#TGFamily 🔥🔥🔥",#TGFamily
2023-04-01,12:12:45,64907,"Photo dhang ki aati hai toh caption nahi milta😂
 #TGFamily 🔥🔥🔥",#TGFamily
2023-03-28,11:48:12,65877,"The birthplace of new, innovative and sustainable tech...Whenever I'm in Korea, Samsung Digital City is a must visit..2023 Vs 2018...
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-27,08:46:25,213026,"The world is truly global when you have lunch in Delhi, dinner in Dubai and breakfast in Seoul...
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-03-26,16:25:07,94271,"Chaliye Shuru Karte Hain as I fly on-board @emirates First Class to Seoul✈️
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-03-26,07:50:18,50618,"Only the people present in the auditorium know the secret about internet🤣🤣🤣
It was awesome interacting with students at IIT BHU..
#TGFamily 🔥 🔥 🔥",#TGFamily
2023-03-23,09:40:04,37650,"Discussions about how India is emerging as a valuable tech leader in the world are bound to happen when you’re in the room with @rajeev_chandrasekhar sir, Union Minister of State for Electronics & Technology, Skill Development & Entrepreneurship, Govt. Of India.",
2023-03-21,07:24:30,144935,"Hello friends...Chai peelo..☕
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-19,04:39:59,43112,Time for some shooting...What's your weapon of choice #TGFamily? 🔥🔥🔥,#TGFamily
2023-03-17,10:37:41,53120,"It was an honour to attend the 16th Water Digest Water Awards 2022-2023..
It's great to see how India is leading the world in the field of water conservation with unique sustainable approaches in the domain.
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-16,12:36:01,71699,"Chaliye shuru karte hai!
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-15,04:57:24,647749,"Happy Birthday @yoyohoneysingh bhaiya🎉🥳🎂Kendi ""Yo Yo Honey Singh!!!"" 
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-13,13:40:27,124454,"All about last night's party!!! Many congratulations to @digblitz bhai!!! 
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-11,14:07:19,43914,". @kapilsharma bhaiya always delivers the best dose of entertainment! The experience at the premiere of #Zwigato was lit!
#TGFamily 🔥🔥🔥","#Zwigato, #TGFamily"
2023-03-10,09:30:50,68219,"It's always a pleasure to spend time with @dchautala bhaiya...Love your vision for Haryana and our country...
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-08,11:38:57,46158,"Never ending Holi celebrations 🔥🔥🔥
#TGFamily !!!",#TGFamily
2023-03-08,08:53:34,88318,"To the women who add the brightest colours in my life...Mummy and Bhabhi...
#happywomensday 
#TGFamily 🔥🔥🔥","#happywomensday, #TGFamily"
2023-03-07,13:55:10,184312,Pehchan Kaun??? Happy Holi #ShotOniPhone14Pro #TGFamily 🔥🔥🔥,"#ShotOniPhone14Pro, #TGFamily"
2023-03-05,14:27:31,1157827,"BHAYA  thoda mirchi aur 🤣🤣
#technicalguruji #tgfamily #kabitaskitchen #panipuri #panipirilovers #golgappe #panipurichallenge #reel #reels #reelitfeelit #reelsinstagram #reelsvideo #trendingreels #funnyreels #reeelitfeelit #reelsvideo","#technicalguruji, #tgfamily, #kabitaskitchen, #panipuri, #panipirilovers, #golgappe, #panipurichallenge, #reel, #reels, #reelitfeelit, #reelsinstagram, #reelsvideo, #trendingreels, #funnyreels, #reeelitfeelit, #reelsvideo"
2023-03-04,12:22:56,285743,"Wanna join in for a drive #TGFamily ??
🔥🔥🔥",#TGFamily
2023-03-03,12:15:29,49468,"A usual morning turned into a thrilling one. It was an honour to meet the Union Minister of Jal Shakti, Govt. of India, Shri Gajendra Singh Shekhawat ji as he unraveled the innovation and approach in the water sector across the country.
#TGFamily 🔥🔥🔥",#TGFamily
2023-03-01,13:46:05,93701,"Bhabhi sundar hai na?😅
#TGFamily 🔥🔥🔥",#TGFamily
2023-02-20,08:54:51,38699,"Happy Birthday to my bro @digblitz bhai...
More power and success to you🔥🔥🔥",
2023-02-16,12:46:40,319493,Caption kya hi likhu...Bas maje chal rahe hai... #TGFamily 🔥🔥🔥,#TGFamily
2023-02-14,14:19:28,33456,Spent some quality time with @vishalrbhardwaj sir in Mumbai last week at the premiere of #Fursat which is entirely #ShotoniPhone14Pro...What a masterpiece...#TGFamily🔥🔥🔥,"#Fursat, #ShotoniPhone14Pro, #TGFamily"
2023-02-14,06:43:52,33369,"Sometimes Blacks And Whites give the best colors of life...
#tgfamily 🔥🔥🔥 #ShotOniPhone by @joshuakarthikr

Taken at Digital Residency Hub at India Art Fair. Artworks made on #iPadPro","#tgfamily, #ShotOniPhone, #iPadPro"
2023-02-09,09:01:12,181430,"What a day...Spent some quality time with the #OneplusCommunity members in Delhi..
#OnePlus11 #TGFamily 🔥🔥🔥","#OneplusCommunity, #OnePlus11, #TGFamily"
2023-01-27,12:21:52,39663,"With my company 42 seems like 24😅
Happy Birthday @pradeepchaudhary27 bhaiya...🎉🎂🔥",
2023-01-26,07:07:49,91703,"Jai Hind 🇮🇳🇮🇳🇮🇳
#happyrepublicday",#happyrepublicday
2023-01-10,07:31:14,51382,"US Army Humvee, my ride for the day...#TGFamily🔥🔥🔥",#TGFamily
2023-01-09,05:28:32,245511,"Vegas mein Party ke baad Dubai mein Shopping with my Big Bro @yoyohoneysingh 🔥🔥🔥
#TGFamily",#TGFamily
2023-01-06,10:50:53,27897,"Time to explore the latest Tech at #CES2023 
#TGFamily 🔥🔥🔥","#CES2023, #TGFamily"
2023-01-04,13:22:55,110784,"Who wants to join the party at 36,000ft✈️? 
#TGFamily 🔥🔥🔥",#TGFamily
2023-01-03,03:03:31,132007,"Both all set…Chacha for Vegas and Bhatija for school😂😂😂

#TGFamily 🔥 🔥 🔥",#TGFamily
2023-01-02,13:57:51,159365,"Live LIFE This Paratha SIZE🔥🔥🔥
#TGFamily",#TGFamily
2023-01-01,09:14:08,104366,Let's start this new year with new smiles...#happynewyear #TGFamily 🔥🔥🔥,"#happynewyear, #TGFamily"
2022-12-07,11:04:57,220979,“We Do Party All Night” with big bros… @yoyohoneysingh & @sohailkhanofficial 🔥🔥🔥,
2022-11-27,12:27:56,61765,Sometimes we plan a lot but end up doing #Nothing 🔥🔥🔥,#Nothing
2022-11-14,05:42:00,492922,"We WILL, we WILL rock you...
Flying @emirates is super fun when you have @willsmith flying with you...
#tgfamily 🔥🔥🔥",#tgfamily
2022-10-27,10:27:54,72473,"Aaj ki party meri taraf se...#INDvsNED 🇮🇳🇮🇳🇮🇳
#TGFamily 🔥 🔥 🔥","#INDvsNED, #TGFamily"
2022-10-24,11:57:57,74990,Wishing you all a very Happy Diwali...May we all get the best in life...#TGFamily 🔥🔥🔥,#TGFamily
2022-10-24,11:01:41,87963,What a day it was...Just watched the highlights again for Diwali Celebrations🔥🔥🔥#INDvPAK #happydiwali,"#INDvPAK, #happydiwali"
2022-10-10,13:49:30,61282,"It was so exciting to discuss tech with an academic Gold Medalist, IIT-K & Wharton Alumnus, former IAS officer but most importantly, a passionate engineer at heart.
@ashwini.vaishnaw sir, thank you for making time for me despite your busy schedule of handling 3 ministries of #GOI.",#GOI
2022-10-06,10:13:24,110830,"I Apple-Solutely love it! 😍
#TGFamily #Apple #iPhone14 🔥🔥🔥","#TGFamily, #Apple, #iPhone14"
2022-09-27,10:36:06,22712,Does everyone check what @technicalguruji reviews before buying anything or is it just me? 🎁,
2022-09-14,10:37:16,72591,"It's Apple o'clock...What's your pick #TGFamily ??? 
Mine is #iPhone14ProMax 🔥🔥🔥","#TGFamily, #iPhone14ProMax"
2022-09-08,10:32:00,209296,"With the man himself...Always a pleasure to meet #TimCook, so much to learn...
#AppleEvent #TGFamily 🔥 🔥 🔥","#TimCook, #AppleEvent, #TGFamily"
2022-09-07,16:47:46,74806,"It's Far Out...
#AppleEvent  #ApplePark","#AppleEvent, #ApplePark"
2022-09-06,05:33:09,63837,Next destination #ApplePark...Can't wait to experience the all new #iPhone14...#AppleEvent,"#ApplePark, #iPhone14, #AppleEvent"
2022-08-15,07:31:37,89063,"Feeling proud, as we complete our #75YearsofIndependence, and celebrate our 76th Independence Day🇮🇳
Agar gaur se jhande ko lehrate huye dekhoge toh tirange ke rango mein balidaan, himmat aur junoon ko paoge...
#JaiHind 🇮🇳
#HarGharTiranga #IndiaAt75","#75YearsofIndependence, #JaiHind, #HarGharTiranga, #IndiaAt75"
2022-06-19,10:02:09,45952,"Papa aapki muskurahat dekh kar aaj khush ho rahe honge…Sab jo aaj apne papa ko miss kar rahe hai…aaj hum unhe yaad karke celebrate karenge...
#HappyFathersDay2022 
#TGFamily 🔥🔥🔥","#HappyFathersDay2022, #TGFamily"
2022-06-15,09:47:03,43351,"Ek Garam Chai Ki Pyali Ho😂😂😂
Waise meri pyali khali hai, socha photo mein sahi lagega😅
#TGFamily 🔥🔥🔥",#TGFamily
2022-06-07,11:37:49,52231,"Itni waves dekh ke, yeh waali waves dekhne ka mann kar gaya...Hi Kerala! 🌊
#TGFamily 🔥🔥🔥",#TGFamily
2022-05-28,07:31:03,140856,"Ghuman ghuman nu ta THAR rakhi ae...
McLaren ta rakheyae tej chalaan nu...
New addition in our collection...#TGFamily 🔥🔥🔥",#TGFamily
2022-05-22,09:17:44,60155,"Vitamin C ka glow nahi, Vitamin ""Sea"" ka flow chahiye... #TGFamily 🔥🔥🔥",#TGFamily
2022-05-14,10:34:22,98822,"Airline food is bad?? Habibi, come to Dubai (in @emirates First Class)!
#TGFamily 🔥🔥🔥",#TGFamily
2022-05-08,11:57:59,97739,मेरी दुनिया…मेरी माँ…#mothersday #TGFamily 🔥 🔥 🔥,"#mothersday, #TGFamily"
2022-05-01,06:57:49,65152,"Water Water everywhere but not a drop to drink😅
#TGFamily 🔥🔥🔥",#TGFamily
2022-04-25,10:06:54,99262,Aaj ki party aapki taraf se!!! Happy 50! @vipulgoel_bjp bhaiya🎉🎉🎊🍾🔥🔥🔥,
2022-04-22,12:41:12,70733,"Apne aas paas hamesha hariyali banaye rakhein...
Earth Day 2022 🌏 
#investinourplanet
#TGFamily 🔥🔥🔥","#investinourplanet, #TGFamily"
2022-04-14,09:08:28,90909,"What runs faster than my heart when I'm driving this car???
My Snapdragon processor...That's why I am a Snapdragon insider...#TGFamily You can become an insider too by following @snapdragon_in 🔥🔥🔥",#TGFamily
2022-04-10,05:56:57,149627,"Side me dekha to pose samjhe kya? Iceberg se bacha raha hu...
#TGFamily 🔥🔥🔥",#TGFamily
2022-04-02,05:17:15,90662,"Dhai kilo ka haath ho ya chaar ka...Yaha nahi tik payega...💪
Always inspired by @mcmary.kom mam...
#TGFamily 🔥 🔥 🔥",#TGFamily
2022-03-27,05:09:19,207464,"Unchi hai building..Lift teri band hai..Kaise mai aaun..Carry bhi sang hai...
#TGFamily 🔥🔥🔥",#TGFamily
2022-03-24,08:49:15,108850,"Yeh Party Nu Hi Chaalegi...
@yoyohoneysingh bhaiya ka Birthday Bash!!! 
#tgfamily 🔥🔥🔥",#tgfamily
2022-03-18,10:29:53,83517,"Hoping that this Holi brings colours of love and laughter in your life!!..
#HappyHoli #tgfamily 🔥🔥🔥","#HappyHoli, #tgfamily"
2022-03-17,07:44:09,66123,"It was all my pleasure meeting our Union Health Minister Hon'ble Dr.@mansukhmandviya 
 Ji...We discussed about India's Vaccination Drive and I got to know about so many inside stories of hard-work and dedication...Just posted a video on youtube covering all the info...
#Proud 
#TGFamily 🔥🔥🔥","#Proud, #TGFamily"
2022-03-15,13:29:19,90096,"To the man who redefined Bollywood music..Happy birthday @yoyohoneysingh bhaiya🥳🎂🎉
#TGFamily 🔥 🔥 🔥",#TGFamily
2022-03-15,12:04:57,142355,My world🌏...Bhaiya Bhabhi ki 16th Anniversary...Celebrations..#TGFamily 🔥 🔥 🔥,#TGFamily
2022-03-12,09:29:11,91420,"Hello #TGFamily🔥🔥🔥
#iQOOZ6 #Giveaway for you…
Step 1 - Follow @iqooind and @technicalguruji 
Step 2 - Like ❤️ & Comment with #TGFamily and #iQOOZ6","#TGFamily, #iQOOZ6, #Giveaway, #TGFamily, #iQOOZ6"
2022-03-11,11:48:03,82196,"Sanity.: Don't buy more, you already have 5 of these. 
Le me.: Yeh tohfa humne khud ko diya hai...#tgfamily 🔥 🔥 🔥",#tgfamily
2022-03-01,06:54:11,112616,"This party getting hot...🔥🔥🔥
#TGFamily",#TGFamily
2022-02-27,10:34:42,83356,#TGFamily Kabhi suraj se phle uthe ho?  Uthna bhi mat...Jo maja kharrate maar ke sone me hai wo aur kahi nahi... 🔥🔥🔥,#TGFamily
2022-02-21,10:27:53,89301,"Aasmaan ki uchaiyon mein ho ya samandar ki gehraiyon mein, kaam nhi rukna chahiye... #TGFamily 🔥🔥🔥",#TGFamily
2022-02-13,05:26:56,143743,Valentine's week hai...Thoda laal to banta hai #TGFamily 🔥🔥🔥,#TGFamily
2022-02-01,14:47:43,183998,"Hello #TGFamily🔥🔥🔥
#iQOOZ5 #Giveaway for you...
Step 1 - Follow @iqooind and @technicalguruji 
Step 2 - Like ❤️ & Comment with #TGFamily 
Step 3 - Baaki focus 14th Feb pe lagao😂","#TGFamily, #iQOOZ5, #Giveaway, #TGFamily"
2022-02-01,12:05:35,103335,"सब्र का फल संतरा होता है।😂🍊
Waise aapko sabar ka kya phal mila #TGFamily ? 🔥🔥🔥",#TGFamily
2022-01-26,08:05:10,162107,"Celebrating our 73rd #RepublicDay Jai Hind🇮🇳🇮🇳🇮🇳...
#TGFamily 🔥 🔥 🔥","#RepublicDay, #TGFamily"
2022-01-23,08:02:04,128714,"Yaar Mera Superstar Desi Kalakaar...🔥🔥🔥
Much respect @yoyohoneysingh bhaiya...#tgfamily",#tgfamily
2022-01-18,08:18:39,177338,"Koi hai jiska jee karda dilaane ka menu Burj Khalifa?? I'm very interested😅
#TGFamily 🔥🔥🔥",#TGFamily
2021-12-31,19:22:11,64681,"@youtubeindia unboxing_2022.mp4 
#happynewyear #TGFamily 🔥 🔥 🔥","#happynewyear, #TGFamily"
2021-12-31,12:23:12,99847,Chaliye Shuru Karte Hai naye saal ki taiyaari...#TGFamily 🔥🔥🔥,#TGFamily
2021-12-26,08:58:06,151714,"As a child I loved ""Hot Wheels""...Now that I'm grown-up... I love the real ""HOT WHEELS""😎
#TGFamily 🔥🔥🔥",#TGFamily
2021-12-24,09:44:01,92775,"My favourite gamer has approved this phone...Is se jyada kya chahiye??
Waise aaj kal kaunsa game khel rahe ho #TGFamily ?🔥🔥🔥",#TGFamily
2021-12-21,08:08:34,103656,"Sardiyo me paani sirf dekhne me hi achha lagta hai😅
Waise abhi daily kaun kaun naha raha hai??
#TGFamily 🔥🔥🔥",#TGFamily
2021-12-19,08:26:43,165186,"I Love Apples🍎...
Waise aapko kaunsa pasand hai #TGFamily ???🔥🔥🔥",#TGFamily
2021-12-11,11:35:40,98025,"Mummy ne kaha ki Raja beta lag raha hai toh socha photo le lu😅
#TGFamily 🔥🔥🔥",#TGFamily
2021-11-28,10:24:15,163137,"Curls, squats, push ups, lunges, planks, pull ups, dead lifts, burpees, bench press, flies, crunches... Ye sab nahi kiya maine...
Bas photo lene gya tha😅 #TGFamily 🔥🔥🔥",#TGFamily
2021-11-26,12:04:21,223156,Rolls Royce kam pad gyi to humne helicopter mangwa diya🚁 #TGFamily 🔥 🔥 🔥,#TGFamily
2021-11-18,07:10:00,152161,High Rated Gabrus Flying In High Speed In High Rated @emirates First Class... @gururandhawa #TGFamily 🔥🔥🔥,#TGFamily
2021-11-08,09:24:25,152178,"Late post ke liye sorry dosto...Fracture theek hone me time lagta hai...😂
#TGFamily 🔥🔥🔥",#TGFamily
2021-11-04,17:27:33,177359,"Happy Diwali... #TGFamily 🔥 🔥 🔥 
Spread positive energy and love all around...",#TGFamily
2021-11-03,12:54:58,249346,"All set for a ride, bas peeche baithne wali chahiye!🙈
.
.
.
Par seat to ek hi hai🤣
#TGFamily 🔥 🔥 🔥",#TGFamily
2021-10-31,16:30:07,123168,When the peepal ke ped wali chudail tries to scare you but you grew up watching Tamraj Kilvish😈...#TGFamily 🔥 🔥 🔥 #halloween,"#TGFamily, #halloween"
2021-10-31,10:30:39,159693,"Celebrating the grand success of our Para-athletes at the Tokyo 2020 Paralympic Games...
India stood strong with 5🥇8🥈6🥉Medals🇮🇳🇮🇳🇮🇳
Proud feeling for the entire #TGFamily 🔥🔥🔥",#TGFamily
2021-10-29,11:23:15,123702,Hello There! Your move...😉#TGFamily 🔥🔥🔥,#TGFamily
2021-10-24,13:00:50,195289,Indiaaaaaaaaaa India...All set for the big one..#INDvPAK #TeamIndia  #TGFamily 🔥🔥🔥,"#INDvPAK, #TeamIndia, #TGFamily"
2021-10-20,09:10:28,135986,"The smile when you have stable WiFi at 40,000ft...@emirates #FlyBetter #TGFamily 🔥🔥","#FlyBetter, #TGFamily"
2021-10-18,15:54:16,176305,"It all started 6 Years ago with a simple thought...
Celebrating 6th Anniversary of #TechnicalGuruji with 3,00,00,000+ #TGFamily members and 3,00,00,00,000+ video views all across..
Counting in Millions of your likes and shares..
More power to the entire #TGFamily 🔥🔥🔥","#TechnicalGuruji, #TGFamily, #TGFamily"
2021-10-17,11:38:51,329839,"When Girls say ""Bhaiya isme aur color dikhana""😂😂😂
What's your pick #tgfamily?🔥🔥🔥",#tgfamily
2021-10-12,09:49:26,242395,Rolling the Royce...#TGFamily 🔥 🔥 🔥,#TGFamily
2021-10-11,10:08:44,291390,Match kamaal tha...MS Dhoni ka awesome match finish bhi dekh lia...Photo bhi achchi hai...Ab bas jaldi se LIKE kardo #TGFamily #CSK #IPL2021 🔥🔥🔥,"#TGFamily, #CSK, #IPL2021"
2021-10-10,04:49:20,294455,"School is surely fun when Chachu is your driver😂
Bribed him with a pizza so he'd pose with me...#TGFamily 🔥🔥🔥",#TGFamily
2021-10-03,10:00:33,193853,Koi caption suggest kardo #TGFamily 🔥🔥🔥,#TGFamily
2021-09-26,06:41:03,236671,Sunday mornings are the best... @gururandhawa #TGFamily 🔥🔥🔥,#TGFamily
2021-09-24,06:38:52,360527,LIKE and FOLLOW #TGFamily...🔥🔥🔥 13 iPhone 13 for you...,#TGFamily
2021-09-21,06:33:15,315342,Lights..Camera..Action..#TGFamily 🔥🔥🔥,#TGFamily
2021-09-19,09:46:24,286657,Chalo Sunday ko thoda fresh banaate hai #TGFamily 🔥🔥🔥,#TGFamily
2021-09-17,07:23:28,129513,Ready for take-off in full speed with @emirates #TGFamily 🔥🔥🔥,#TGFamily
